"Address","Indexability","Indexability Status","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1"
"https://www.vlsiphysicaldesign.top/","Indexable","","","","","","https://www.vlsiphysicaldesign.top/","","",""
"https://www.vlsiphysicaldesign.top/advanced_logic_synthesis","Indexable","","","","","","https://www.vlsiphysicaldesign.top/advanced_logic_synthesis","","",""
"https://www.vlsiphysicaldesign.top/io_design","Indexable","","","","","","https://www.vlsiphysicaldesign.top/io_design","","",""
"https://www.vlsiphysicaldesign.top/eco","Indexable","","","","","","https://www.vlsiphysicaldesign.top/eco","","",""
"https://www.vlsiphysicaldesign.top/ccs_modeling","Indexable","","","","","","https://www.vlsiphysicaldesign.top/ccs_modeling","","",""
"https://www.vlsiphysicaldesign.top/placement","Indexable","","","","","","https://www.vlsiphysicaldesign.top/placement","","",""
"https://www.vlsiphysicaldesign.top/power_analysis","Indexable","","","","","","https://www.vlsiphysicaldesign.top/power_analysis","","",""
"https://www.vlsiphysicaldesign.top/routing","Indexable","","","","","","https://www.vlsiphysicaldesign.top/routing","","",""
"https://www.vlsiphysicaldesign.top/sta","Indexable","","","","","","https://www.vlsiphysicaldesign.top/sta","","",""
"https://www.vlsiphysicaldesign.top/logic_synthesis","Indexable","","","","","","https://www.vlsiphysicaldesign.top/logic_synthesis","","",""
"https://www.vlsiphysicaldesign.top/ir_analysis","Indexable","","","","","","https://www.vlsiphysicaldesign.top/ir_analysis","","",""
"https://www.vlsiphysicaldesign.top/powerplan","Indexable","","","","","","https://www.vlsiphysicaldesign.top/powerplan","","",""
"https://www.vlsiphysicaldesign.top/delay_models","Indexable","","","","","","https://www.vlsiphysicaldesign.top/delay_models","","",""
"https://www.vlsiphysicaldesign.top/who-am-i","Indexable","","","","","","https://www.vlsiphysicaldesign.top/who-am-i","","",""
"https://www.vlsiphysicaldesign.top/cmos_fundamentals","Indexable","","","","","","https://www.vlsiphysicaldesign.top/cmos_fundamentals","","",""
"https://www.vlsiphysicaldesign.top/blog","Indexable","","","","","","https://www.vlsiphysicaldesign.top/blog","","index,follow",""
"https://www.vlsiphysicaldesign.top/pd_inputs","Indexable","","","","","","https://www.vlsiphysicaldesign.top/pd_inputs","","",""
"https://www.vlsiphysicaldesign.top/pd_issues","Indexable","","","","","","https://www.vlsiphysicaldesign.top/pd_issues","","",""
"https://www.vlsiphysicaldesign.top/congestion_analysis","Indexable","","","","","","https://www.vlsiphysicaldesign.top/congestion_analysis","","",""
"https://www.vlsiphysicaldesign.top/work_sited","Indexable","","","","","","https://www.vlsiphysicaldesign.top/work_sited","","",""
"https://www.vlsiphysicaldesign.top/sta_numericals","Indexable","","","","","","https://www.vlsiphysicaldesign.top/sta_numericals","","",""
"https://www.vlsiphysicaldesign.top/floorplan","Indexable","","","","","","https://www.vlsiphysicaldesign.top/floorplan","","",""
"https://www.vlsiphysicaldesign.top/std_cell_types","Indexable","","","","","","https://www.vlsiphysicaldesign.top/std_cell_types","","",""
"https://www.vlsiphysicaldesign.top/pd_cells","Indexable","","","","","","https://www.vlsiphysicaldesign.top/pd_cells","","",""
"https://www.vlsiphysicaldesign.top/pd_verification","Indexable","","","","","","https://www.vlsiphysicaldesign.top/pd_verification","","",""
"https://www.vlsiphysicaldesign.top/cts","Indexable","","","","","","https://www.vlsiphysicaldesign.top/cts","","",""
"https://www.vlsiphysicaldesign.top/about","Indexable","","","","","","https://www.vlsiphysicaldesign.top/about","","",""
"https://www.vlsiphysicaldesign.top/projects","Indexable","","","","","","https://www.vlsiphysicaldesign.top/projects","","index,follow",""
"https://www.vlsiphysicaldesign.top/advanced_synthesis","Indexable","","","","","","https://www.vlsiphysicaldesign.top/advanced_synthesis","","",""
